,EmployerName,MinPositionSalary,MaxPositionSalary,OvertimePay,LumpSumPay,OtherPay,EmployeesRetirementCostCovered,HealthDentalVision,PensionFormula,EmployerURL,EmployerCounty,TotalWages
80928,"State University, Sacramento",49248,86508,0,0,650,0,23270.64,2.00% @ 62,http://www.csus.edu/hr/,Sacramento,58383.36
79366,"State University, Sacramento",28079.4,41432.76,0,0,0,0,0,,http://www.csus.edu/hr/,Sacramento,81.9
55293,"State University, Long Beach",59076,131088,0,0,0,0,0,2.00% @ 60,http://daf.csulb.edu/offices/bhr/,Los Angeles,9119.2
118745,"State University, Sonoma",22879.56,38749.56,0,0,1066.25,0,0,,http://www.sonoma.edu/hr/,Sonoma,8340.85
3688,"State Polytech University, Pomona",59076,131088,0,0,100,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.cpp.edu/~hr/index.shtml,Los Angeles,3013.6
117856,"State University, Sonoma",28079.4,41432.76,0,0,0,0,0,,http://www.sonoma.edu/hr/,Sonoma,240
80613,"State University, Sacramento",23664,37452,0,0,0,0,75.5,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.csus.edu/hr/,Sacramento,16665.79
83651,"State University, San Bernardino",34152,59976,0,0,1653.37,0,17631.72,2.00% @ 55,http://hrd.csusb.edu/,San Bernardino,43065.47
42269,"State University, Fullerton",28079.4,41432.76,0,0,0,0,0,,http://hr.fullerton.edu/,Orange,3958.2
61406,"State University, Los Angeles",67656,143952,0,0,-71.32,0,17631.72,2.00% @ 60,http://www.calstatela.edu/hrm,Los Angeles,82674.48
61311,"State University, Los Angeles",59076,131088,0,0,0,0,9329.16,2.00% @ 62,http://www.calstatela.edu/hrm,Los Angeles,74889.04
33888,"State University, Fresno",44712,157800,0,0,258,0,17631.72,2.00% @ 55,http://www.csufresno.edu/humres/,Fresno  ,93801.84
13955,"State Polytech University, San Luis Obispo",22879.56,38749.56,0,0,440,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,440
36292,"State University, Fresno",49512,66192,0,0,0,0,9319.08,2.00% @ 55,http://www.csufresno.edu/humres/,Fresno  ,59931.28
9191,"State Polytech University, San Luis Obispo",28079.4,41432.76,0,0,111.8,0,0,,http://www.afd.calpoly.edu/hr/,San Luis Obispo,655.2
117166,"State University, Sonoma",61812,115416,0,0,0,0,89.64,2.00% @ 62,http://www.sonoma.edu/hr/,Sonoma,67867.71
102894,"State University, San Francisco",22879.56,38749.56,0,0,136.5,0,0,,http://www.sfsu.edu/~hrwww/,San Francisco,136.5
18319,"State University, CA Maritime Academy",22879.56,38749.56,0,0,639.6,0,0,,http://www.csum.edu/web/faculty-and-staff/hr,Solano,639.6
18047,"State University, CA Maritime Academy",132,2880,0,0,10525,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://www.csum.edu/web/faculty-and-staff/hr,Solano,10525
123472,"State University, Stanislaus",50148,71304,0,386.38,650,0,461.55,2.00% @ 62,http://www.csustan.edu/HR/index.html,Stanislaus,19736.28
52796,"State University, Long Beach",59076,131088,0,0,0,0,23270.64,2.00% @ 62,http://daf.csulb.edu/offices/bhr/,Los Angeles,129330.96
118751,"State University, Sonoma",22879.56,38749.56,0,0,3331.59,0,0,,http://www.sonoma.edu/hr/,Sonoma,3485.59
74217,"State University, Northridge",22879.56,38749.56,0,0,3674.16,0,0,,http://www.csun.edu/hr,Los Angeles,3674.16
3732,"State Polytech University, Pomona",59076,131088,0,0,5525.68,0,16162.41,2.00% @ 60,http://www.cpp.edu/~hr/index.shtml,Los Angeles,48484.39
42042,"State University, Fullerton",132,2880,0,0,500,0,0,Part-Time Seasonal and Temporary (PST) Retirement Plan,http://hr.fullerton.edu/,Orange,500
95687,"State University, San Diego",22879.56,38749.56,0,0,240,0,0,,http://bfa.sdsu.edu/hr/,San Diego,240
